mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__n_features,param_model__n_trees,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_mse,split1_test_mse,split2_test_mse,mean_test_mse,std_test_mse,rank_test_mse
21.802970727284748,0.39928307234493005,0.16233372688293457,0.0038587651723581626,,,10,"{'model__max_depth': None, 'model__n_features': None, 'model__n_trees': 10}",0.16238075491048598,-0.7763445474073136,0.45069202328089397,-0.05442392307197789,0.5238688689280165,36,-10302170275.465162,-5527885860.602047,-2451837796.125519,-6093964644.064242,3229784709.115894,36
110.07120672861735,2.2507873143891017,0.7083332538604736,0.010209146153413864,,,50,"{'model__max_depth': None, 'model__n_features': None, 'model__n_trees': 50}",0.17262018690858028,0.5908229906343988,0.6254269054345456,0.4629566943258416,0.20578439102503057,4,-10176231941.804813,-1273336193.6212766,-1671908127.2997937,-4373825420.9086275,4106146285.0936837,4
224.90235344568887,1.7896965941643619,1.4596988360087078,0.03278703538173989,,,100,"{'model__max_depth': None, 'model__n_features': None, 'model__n_trees': 100}",0.17899748223725054,0.5600945215742945,0.6215703292926309,0.45355411103472526,0.1957563545943975,6,-10097795369.629507,-1368961487.6461465,-1689121966.437647,-4385292941.237767,4041463322.3484077,5
10.74804162979126,0.2172455784798801,0.1529998779296875,7.018852922382233e-07,,10,10,"{'model__max_depth': None, 'model__n_features': 10, 'model__n_trees': 10}",0.1657732615982478,0.606579770715672,0.5603502714267516,0.4442344345802238,0.1978042134620318,12,-10260444656.38123,-1224301966.5919447,-1962377877.7263885,-4482374833.566522,4096808283.744858,18
54.72150754928589,0.6771284410412464,0.6967607339223226,0.01766135759940554,,10,50,"{'model__max_depth': None, 'model__n_features': 10, 'model__n_trees': 50}",0.19317254103895587,0.5226521562836802,0.5968404965418506,0.43755506462149557,0.1754386708263858,15,-9923451393.7765,-1485480054.9362473,-1799503648.845349,-4402811699.186032,3905786278.7151113,9
112.87558325131734,1.708315792777197,1.3454984823862712,0.017229812423191576,,10,100,"{'model__max_depth': None, 'model__n_features': 10, 'model__n_trees': 100}",0.17960850333328826,0.49003040512706164,0.6126399177435753,0.42742627540130834,0.18224252935869578,18,-10090280208.761147,-1586997137.998738,-1728982885.0824296,-4468753410.614104,3975442335.540179,16
22.24189893404643,0.6570290943282906,0.1636664867401123,0.006018278299374325,,50,10,"{'model__max_depth': None, 'model__n_features': 50, 'model__n_trees': 10}",0.16460023560821568,0.41305471230584045,0.6098658390610081,0.39584026232502145,0.18218601733878378,29,-10274872110.809603,-1826541231.2758775,-1741364993.5745885,-4614259445.220023,4002808643.960064,30
114.0327304204305,3.2113325037644986,0.704999844233195,0.0016333614977933838,,50,50,"{'model__max_depth': None, 'model__n_features': 50, 'model__n_trees': 50}",0.16343103796242053,0.4570506052125769,0.6062145892504776,0.408898744141825,0.18394432059049573,26,-10289252479.101364,-1689628448.9675786,-1757662358.0185297,-4578847762.029158,4037961422.7780476,29
229.86278430620828,2.186564935458098,1.4200485547383626,0.014014236684384566,,50,100,"{'model__max_depth': None, 'model__n_features': 50, 'model__n_trees': 100}",0.17511841808964757,0.4890738737513659,0.5838072990606786,0.41599986363389735,0.17466445655088564,22,-10145505328.053143,-1589973810.668828,-1857677364.7625425,-4531052167.828171,3971521917.7278233,23
23.188577095667522,0.3714425299984751,0.16909448305765787,0.004311270764527064,,100,10,"{'model__max_depth': None, 'model__n_features': 100, 'model__n_trees': 10}",0.16796010441894926,0.23356621091584806,0.5538977836236073,0.31847469965280156,0.16861012554047952,34,-10233547916.321089,-2385099507.834643,-1991178576.3240683,-4869942000.159933,3796050117.5985327,34
