Model,Type,Score
Custom Random Forest,mse,1812664157.660845
Custom Random Forest,r2,0.5451717129675917
ChatGPT Random Forest,mse,2533476470.205378
ChatGPT Random Forest,r2,0.36430763618815776
Sklearn Random Forest,mse,1850217030.9434474
Sklearn Random Forest,r2,0.5357490579456531
